file	duration_ms	tests	failed
src/core/simulation/earlygame/PerfectionEconomy.test.ts	296719	15	0
src/core/simulation/earlygame/EssenceSubstitutionEconomy.test.ts	8687	8	0
src/core/simulation/earlygame/TrucCoJourney.test.ts	4986	8	0
src/presentation/tribulationRouting.test.ts	1248	9	0
src/core/audio/AudioManager.test.ts	924	20	0
src/core/simulation/earlygame/EarlyGameSession.test.ts	848	8	0
src/presentation/host/useDynamicRegion.test.ts	788	15	0
tests/architecture/asciiComments.test.ts	778	1	0
tests/architecture/eslintCoreSeverity.test.ts	753	2	0
src/presentation/presentationOwnership.test.ts	736	4	0
tests/architecture/staticArtExtentDeclared.test.ts	717	2	0
src/core/game/GameManager.autoFarmOffline.test.ts	519	7	0
src/core/simulation/BattleSimulation.determinism.test.ts	503	5	0
src/core/drop/dropCharacterization.test.ts	498	2	0
src/presentation/sessionHandoff.test.ts	487	5	0
src/core/simulation/BattleMetrics.test.ts	484	16	0
src/composables/useBootFlow.test.ts	466	7	0
src/core/simulation/earlygame/MortalChapterJourney.test.ts	429	6	0
src/components/game/DongFuScene.test.ts	324	6	0
src/core/game/GameManager.perfectClear.feasibility.test.ts	315	8	0
src/components/game/HomeBuildingIcons.test.ts	308	18	0
src/core/production/ProductionBalance.simulation.test.ts	262	5	0
src/core/kiem-tu/invariants.test.ts	242	31	0
src/components/panels/EquipmentHallPanel.test.ts	236	7	0
src/core/drop/dropEconomy.test.ts	232	2	0
src/components/panels/ChiHienQuan.integration.test.ts	231	18	0
src/components/panels/InventorySort.test.ts	230	3	0
src/components/panels/realm/RealmBodySections.test.ts	217	24	0
src/components/game/DongFuCommandWheel.test.ts	214	15	0
src/core/simulation/earlygame/RngLeakProbe.test.ts	208	1	0
src/components/common/ItemCardBody.test.ts	205	11	0
src/core/game/GameManager.verticalSlice.test.ts	198	2	0
src/core/battle/runtime/rng/rng.test.ts	191	12	0
src/core/game/GameManager.phapTuAnPath.test.ts	190	21	0
src/core/equipment/EquipmentSystem.test.ts	187	164	0
src/components/panels/bag-sections/EquipmentBagSection.test.ts	179	6	0
src/components/panels/MaterialBagFilter.test.ts	176	5	0
src/components/panels/StageSelectPanel.test.ts	174	5	0
src/components/panels/RealmPanel.test.ts	171	3	0
src/components/panels/equipment-hall/RefineTab.test.ts	168	6	0
src/core/battle/turn/TurnBattleSystem.test.ts	164	65	0
src/components/panels/equipment-hall/WashTab.test.ts	164	7	0
src/components/panels/CharacterPanel.meridian.test.ts	161	8	0
tests/architecture/statDomainWhitelist.test.ts	158	428	0
src/components/panels/bag-sections/PillBagSection.test.ts	155	3	0
src/components/panels/CompanionPanel.test.ts	154	7	0
src/core/battle/SeededRandom.test.ts	145	3	0
src/components/common/ActionFeedbackLog.test.ts	141	5	0
src/core/game/GameManager.battleCycle.test.ts	136	14	0
src/components/panels/TranPhapPanel.test.ts	135	5	0
src/components/common/InkWashMediumSurfaces.test.ts	132	3	0
src/components/panels/equipment-hall/DissolveTab.test.ts	127	5	0
src/components/onboarding/CharacterCreationScreen.test.ts	126	3	0
src/core/battle/turn/TurnBattleSystem.rngContract.test.ts	119	2	0
tests/architecture/systemThemeBoundary.test.ts	116	6	0
tests/architecture/paidRandomContract.test.ts	116	7	0
src/components/panels/SkillPathPanel.test.ts	114	4	0
src/core/game/GameManager.reactionReproof.test.ts	113	28	0
src/core/game/GameManager.skillPipelineJourney.test.ts	113	3	0
src/components/panels/equipment-hall/EnhanceTab.test.ts	112	4	0
src/composables/useElectronBridge.test.ts	112	5	0
tests/architecture/cultivationPathIsolation.test.ts	109	5	0
src/components/game/combat/CombatDefeatPanel.test.ts	99	6	0
src/core/equipment/deadReferences.test.ts	96	3	0
src/components/common/SlotView.test.ts	95	33	0
src/components/common/InkWashBackdrop.test.ts	93	4	0
src/core/game/GameManagerSaveRestore.boundary.test.ts	93	90	0
src/components/panels/SettingsPanel.test.ts	92	2	0
src/components/common/BreakthroughRequirementPanel.test.ts	92	7	0
tests/architecture/atlasFramesExist.test.ts	90	4	0
src/core/game/GameManager.battleTeardown.test.ts	88	10	0
src/core/simulation/BattleSimulation.test.ts	88	11	0
src/core/battle/turn/TurnBattleSystem.determinism.test.ts	86	7	0
src/composables/useAppLifecycle.test.ts	85	31	0
tests/architecture/assetContainment.test.ts	81	4	0
src/components/game/combat/turnCombatReactivity.test.ts	80	1	0
tests/architecture/catalogPreloadParity.test.ts	79	3	0
src/core/game/GameManager.theTuE2E.test.ts	78	10	0
src/core/item/ItemRoll.test.ts	76	6	0
src/components/panels/skill-path/NodeInspector.test.ts	76	7	0
src/components/panels/EquipmentPaperdoll.test.ts	75	3	0
src/core/simulation/earlygame/QrProbe.test.ts	74	1	0
src/core/game/GameManager.coreLevelChain.qa.test.ts	73	2	0
src/services/save/SaveSystem.restoreIdentity.test.ts	73	18	0
src/components/layout/LeftPanel.building.test.ts	73	2	0
src/components/panels/skill-path/TechniqueBand.test.ts	73	4	0
tests/architecture/damageAuthorityRng.test.ts	72	4	0
src/components/common/dialogLabeling.test.ts	71	3	0
src/core/game/GameManager.perfectClear.test.ts	70	9	0
src/presentation/combatRouting.test.ts	69	7	0
src/core/simulation/benchmark/BalanceReport.test.ts	67	21	0
src/components/common/dialogFocus.test.ts	67	5	0
src/core/game/GameManager.turnManualQa.test.ts	65	7	0
src/core/game/GameManager.ancientBeastTrial.test.ts	64	7	0
tests/architecture/canonicalBuffSurface.test.ts	64	2	0
src/core/game/GameManager.theTuAnE2E.test.ts	64	8	0
src/components/panels/VendorPanel.test.ts	63	2	0
src/components/game/combat/TurnOrderStrip.test.ts	61	11	0
src/components/common/dialogFocusAdversarial.test.ts	60	6	0
src/components/panels/equipment-hall/DecomposeTab.test.ts	60	7	0
src/core/game/GameManager.laneAssignment.test.ts	59	2	0
src/core/game/GameManager.autoFarmAdversarial.test.ts	58	7	0
src/core/game/GameManager.fixedStepCatchup.test.ts	58	2	0
src/core/battle/turn/TurnBattleSystem.contract.test.ts	58	22	0
src/components/game/combat/CombatVictoryPanel.test.ts	57	2	0
src/components/game/combat/CombatExitConfirmModal.focus.test.ts	57	4	0
src/components/game/combat/hud/TurnCombatSkillBar.display.test.ts	56	4	0
src/components/panels/AlchemyView.test.ts	55	3	0
src/core/game/GameManager.ngoDaoReaction.test.ts	55	13	0
src/services/save/saveShapeValidation.test.ts	55	356	0
src/core/profession/ProfessionDataIntegrity.test.ts	55	15	0
src/core/production/ProductionSystem.test.ts	54	29	0
